지점명_표준,종목,입점형태,오픈일,평형 수(전용면적),주차 시설,웨이트브랜드,웨이트기구,유산소_유무,유산소브랜드,트레드밀,GX_유무,GX프로그램,G.X,안마의자_유무,안마의자,스트레칭존_유무,스트레칭존,부대시설_유무,부대시설
 강남고속터미널점,헬스·필라테스,신규,2001-11-21,400평,"일일권제외 신세계,터미널사잇길주차 2시간 가능 PT회원 3시간 가능, 추가 10분당 1000원","뉴택&아틀란티스&GYM80, 아틀란티스","뉴택&아틀란티스&GYM80, 아틀란티스",TRUE,헤라9000,헤라9000,FALSE,,X,FALSE,X,TRUE,O,FALSE,X
 강남역점,헬스·필라테스,인수,2021-09-01,500평,지하주차장 지하3~6층 무료X 유료주차 1시간4000원 할인권판매,"Gym80, 아스날, 아틀란티스, 짐레코, 테크노짐, 파나타, 프라임, 프리모션, 호이스트","아스널,프라임,Gym80, 파나타, 프리모션, 아틀란티스,테크노짐, 호이스트, 짐레코,  ",TRUE,"DRAX, 매트릭스, 스피릿스텝퍼, 헬스원싸이클","DRAX 트레드밀,헬스원싸이클,스피릿스텝퍼,매트릭스 스텝밀",TRUE,인요가,인요가,TRUE,o,TRUE,o,TRUE,"건식사우나, 태닝"
 건대스타시티몰점,헬스·필라테스·골프,인수,2021-11-01,600평,"지하2,3층 주차가능 , 4시간 무료, 4시간 이후 추가요금 발생","뉴텍, 라이프, 테크노짐, 플렉스.스타트렉","테크노짐, 라이프, 뉴텍, 플렉스. 스타트렉",TRUE,"테크노짐, 테하스택스","테하스택스, 테크노짐",TRUE,"줌바, 요가, 근력운동, 에어로빅","줌바,요가,근력운동,에어로빅",FALSE,x,TRUE,ㅇ,TRUE,"사우나, 목욕탕"
 관저점,헬스·필라테스,인수,2020-03-01,500평,"지하주차장 3시간 무료가능(초과시 최초 30분 1000원, 추가10분당 200원 / 일 최대요금 15,000원)","뉴텍, 아스날, 프리모션, 해머스트렝스","뉴텍,아스널,해머스트렝스,
프리모션",TRUE,DRAX,디랙스,TRUE,"에어로빅, 매트필라테스, 줌바, 요가, 다이어트댄스, 점핑, 스피닝","에어로빅,매트필라테스,줌바,
요가,다이어트댄스,점핑,스피닝
",FALSE,X,TRUE,O,TRUE,목욕탕/사우나
 구서점,헬스·필라테스,인수,2018-01-21,290평,"구서1동 공용주차장 1시간무료 ,추가 시간당 1000원","DRAX, 뉴텍, 테크노짐","뉴텍,테크노짐,디렉스",TRUE,"마이마운틴, 테크노짐","테크노짐 스텝밀,마이마운틴",TRUE,요가 줌바 스피닝,요가 줌바 스피닝,FALSE,x,TRUE,o,FALSE,x
 권선점,헬스·필라테스, 신규,2021-07-05,300평,"롯데마트 지하B2,3,4 - 3시간 무료 (마트 영업 휴무일은 운영x)","뉴텍, 로저스, 아스날, 짐레코, 테크노짐, 펜듈럼, 프리모션, 해머스트렝스","뉴텍, 테크노짐, 아스날, 프리모션, 해머스트렝스, 짐레코,펜듈럼,로저스",TRUE,"매트릭스, 헬스원","헬스원 ,매트릭스",FALSE,,x,TRUE,o,TRUE,o,FALSE,x
 남포점,헬스·필라테스,인수,2019-12-23,340평대 ,와이즈파크 지하 주차장 3시간 무료,"뉴텍, 매트릭스, 스타트랙, 헤머스트렝스","헤머스트렝스 , 스타트렉, 메트릭스 , 뉴텍",FALSE,,,TRUE,"요가, 필라테스, 스피닝","요가,필라테스,스피닝",FALSE,X,TRUE,O,FALSE,X
 두정점,헬스,신규,2021-07-20,400평,1층 주차 시간제한없음,"너틸러스, 뉴텍, 라이프휘트니스, 스타트랙, 싸이벡스, 아스날, 테크노짐, 해머스트렝스","해머스트렝스,라이프휘트니스,뉴텍,테크노짐,아스날스트랭스,스타트랙,싸이백스,뉴텍,너틸러스",TRUE,"렉스코싸이클, 마이마운틴, 애니휘트니스, 테크노짐, 파워플레이트, 펌프",테크노짐/애니휘트니스/테크노짐스탭밀/마이마운틴/렉스코싸이클/파워플레이트/펌프,FALSE,,x,FALSE,x,TRUE,o,FALSE,x
 둔산점,헬스·필라테스,양도양수,2018-12-01,400평,지하주차장 2시간무료/초과시 30분당 1500원,"너틸러스, 뉴텍, 라이프휘트니스, 싸이벡스, 아스날, 짐레코, 프리모션, 해머스트렝스","뉴텍,아스널,해머,싸이백스,너틸러스,프리모션,라이프피트니스,짐레코",TRUE,"DRAX, 다이아몬드트레드밀, 테크노짐","다이아몬드 트레드밀, 테크노짐 스텝밀+디렉스스텝밀, 디렉스 입식+좌식 싸이클",FALSE,,X,FALSE,X,TRUE,O,FALSE,X
 롯데광복점,헬스·필라테스,신규,2009-03-23,400평,롯데백화점 광복점 지하주차창 3시간 무료,뉴텍,뉴텍,TRUE,DRAX,DRAX,FALSE,,x,FALSE,x,FALSE,x,FALSE,x
 롯데대구역점,헬스,신규,,,롯데백화점 주차장 3시간 무료,"뉴텍온힘, 아스날, 왓슨, 파나타","파나타,아스날,왓슨,뉴텍온힘",TRUE,"DRAX, 매트릭스, 스텝밀, 싸이클","매트릭스(런닝머신,스텝밀,싸이클),디렉스(마이마운틴)",FALSE,,X,FALSE,X,TRUE,O,FALSE,X
